Ticker,Drug,Stage,Catalyst
BHC,Latanoprostene bunod  Open angle glaucoma (OAG) or ocular hypertension (OHT),Approved,"11/02/2017  Approval announced November 2, 2017."
ALNY,Patisiran Familial Amyloidotic Polyneuropathy (FAP) in Patients with ATTR,Approved,"11/02/2017  Positive full data released November 2, 2017."
SNY,Patisiran Familial Amyloidotic Polyneuropathy (FAP) in Patients with ATTR,Approved,"11/02/2017  Positive full data released November 2, 2017."
IONS,Inotersen (IONIS-TTRRx)  NEURO-TTR - familial amyloid polyneuropathy (FAP).,Approved,"11/02/2017  Full data presented November 2, 2017."
PTCT,Inotersen (IONIS-TTRRx)  NEURO-TTR - familial amyloid polyneuropathy (FAP).,Approved,"11/02/2017  Full data presented November 2, 2017."
AKCA,Inotersen (IONIS-TTRRx)  NEURO-TTR - familial amyloid polyneuropathy (FAP).,Approved,"11/02/2017  Full data presented November 2, 2017."
XNCR,XmAb5871  IgG4-Related Disease (IgG4-RD),Phase 2,"11/04/2017  Phase 2 final data presented November 4, 2017."
CLLS,UCART123  Acute myeloid leukemia (AML) and in blastic plasmacytoid dendritic cell neoplasm (BPDCN).,Phase 1,"11/06/2017  Release of clinical hold announced November 6, 2017."
KERX,Auryxia  Iron deficiency anemia in non-dialysis dependent CKD patients,Approved,"11/07/2017  sNDA FDA Approval announced November 7, 2017."
COLL,Xtampza ER (oxycodone) Severe pain,Approved,"11/07/2017  Approval announced November 7, 2017."
PFE,Staphylococcus aureus vaccine,PDUFA,"11/07/2017  Advisory Committee Meeting held November 7, 2017. No votes cast."
NVS,LEE011: MONALEESA-7  Breast cancer - (pre-menopausal),Phase 3,"11/08/2017  Phase 3 trial met primary endpoint - November 8, 2017."
ONCS,ImmunoPulse IL-12  Melanoma,Phase 2,"11/08/2017  SITC presentation - November 10, 2017. Updated data showed 57% PFS rate at 15 months."
OTIC,OTIVIDEX  Ménière's disease,Phase 3,"11/08/2017  Company noted that Phase 3 development suspended following failure of AVERTS-1 trial - August 30, 2017. However, company announced November 8, 2017 that the trial actually met the primary endpoint."
SGEN,ADCETRIS  Cancer - ALCANZA trial for relapsed CD30-positive cutaneous T-cell lymphoma,Approved,"11/09/2017  Approval announced November 9, 2017."
ADAP,NY-ESO T-cell therapy  Synovial sarcoma - cancer,Phase 1/2,"11/09/2017  Oral presentation at CTOS November 9, 2017."
HRTX,CINVANTI (HTX-019)  Prevention of chemotherapy-induced nausea and vomiting (CINV),Approved,"11/09/2017  Approval announced November 9, 2017."
IOVA,LN-144  Refractory metastatic melanoma,Phase 2,"11/09/2017  Late breaker at SITC November 10, 2017 showed a DCR of 78%."
ADAP,NY-ESO T-cell therapy  Myxoid round cell liposarcoma (MRCLS),Phase 1/2,"11/09/2017  Poster at CTOS November 9, 2017."
MRK,Letermovir  Cytomegalovirus (CMV) Infection,Approved,"11/09/2017  Approval announced November 9, 2017."
SAGE,Brexanolone - SAGE-547 (202C)  Postpartum Depression - moderate,PDUFA priority review,"11/09/2017  Phase 3 data released November 9, 2017. Primary endpoint met."
DVAX,HEPLISAV-B Hepatitis B,Approved,"11/09/2017  Final approval announced November 9, 2017"
BMY,Sprycel (dasatinib)  Philadelphia Chromosome-Positive Chronic Phase Chronic Myeloid Leukemia,Approved,"11/10/2017  Approval announced November 10, 2017."
INO,MEDI0457 HPV-associated squamous cell carcinoma of the head & neck (SCCHN),Phase 1/2,"11/10/2017  Presentation at SITC Meeting - November 10, 2017."
AZN,MEDI0457 HPV-associated squamous cell carcinoma of the head & neck (SCCHN),Phase 1/2,"11/10/2017  Presentation at SITC Meeting - November 10, 2017."
FATE,FATE-NK100  Acute myelogenous leukemia (AML),Phase 1,"11/10/2017  Phase 1 initial data released at SITC November 10, 2017."
BMY,BMS-986205 and Nivolumab  Advanced tumors,Phase 1/2,"11/10/2017  Late-breaker at SITC November 11, 2017. ORR 14-32%."
NKTR,"NKTR-214 + OPDIVO (nivolumab) - PIVOT-02  Melanoma, Renal Cell Carcinoma and Non-Small Cell Lung Cancers",Phase 1/2,11/12/2017  Phase 1/2 promising data presented at SITC November 2017. 63% response rate for melanoma patients. 46% for Renal Cell Carcinoma.
BMY,"NKTR-214 + OPDIVO (nivolumab) - PIVOT-02  Melanoma, Renal Cell Carcinoma and Non-Small Cell Lung Cancers",Phase 1/2,11/12/2017  Phase 1/2 promising data presented at SITC November 2017. 63% response rate for melanoma patients. 46% for Renal Cell Carcinoma.
MRTX,Glesatinib (MGCD265)  Non-small cell lung cancer (NSCLC) patients with driver alterations in MET,Phase 2,"11/13/2017  Noted November 13, 2017 that further development has been suspended."
AGN,Cariprazine  Maintenance Treatment of Schizophrenia,Approved,"11/13/2017  Approval announced November 13, 2017."
AZN,"Benralizumab  Severe, uncontrolled asthma",Approved,"11/14/2017  Approval announced November 14, 2017."
ACHN,ACH-4471  C3 glomerulopathy (C3G),Phase 2,"11/14/2017  Phase 2 interim data released November 14, 2017."
ACOR,Tozadenant  Parkinson’s disease (PD),Phase 3,"11/15/2017  Phase 3 data due 1Q 2018. Noted November 15, 2017 seven cases of sepsis, five of which were fatal."
RARE,MEPSEVII (vestronidase alfa)  Mucopolysaccharidosis 7 (MPS 7),Approved,"11/15/2017  Approval announced November 15, 2017."
PFE,Sutent (Sunitinib)  Renal cell carcinoma (RCC),Approved,"11/16/2017  Approval announced 16 November, 2017."
TBPH,Closed Triple  COPD,Approved,"11/18/2017  Approval announced September 19, 2017."
GSK,Closed Triple  COPD,Approved,"11/18/2017  Approval announced September 19, 2017."
INVA,Closed Triple  COPD,Approved,"11/18/2017  Approval announced September 19, 2017."
DBVT,Viaskin Peanut (REALISE)  Peanut allergy,Phase 3,"11/20/2017  Phase 3 positive safety data released November 20, 2017."
GLPG,GLPG2222 - ALBATROSS  Cystic fibrosis (CF),Phase 2a,"11/20/2017  Phase 2a postive top-line data released November 20, 2017."
ARDX,RDX7675  Hyperkalemia,Phase 2,"11/21/2017  Onset of action trial data released November 21, 2017 - noted significantly reduced serum potassium in patients. Development to be discontinued."
GSK,Dolutegravir + rilpivirine  HIV,Approved,"11/21/2017  Approval announced November 21, 2017."
CYTK,Tirasemtiv - VITALITY  Amyotrophic lateral sclerosis (ALS),Phase 3,"11/21/2017  Phase 3 data released November 21, 2017 - primary endpoint not met."
NKTR,Inhaled Amikacin Solution (BAY41-6551T)  Gram-Negative Pneumonia (INHALE 1),Phase 3,"11/24/2017  Phase 3 data released November 24, 2017. Endpoints not met."
REGN,EYLEA + nesvacumab  Diabetic macular edema (DME),Phase 2,"11/27/2017  Phase 2 data released November 27, 2017 - insufficient efficacy shown to warrant further development."
CPRX,Firdapse  Lambert-Easton Myasthenic Syndrome (LEMS),PDUFA priority review,"11/27/2017  Refusal to file letter reported on February 17, 2016. Data from second Phase 3 trial released November 27, 2017 - endpoints met."
VKTX,VK5211  Acute Hip Fracture,Phase 2,"11/28/2017  Phase 2 trial met endpoints - November 28, 2017."
EARS,AM-111 HEALOS  Acute inner ear hearing loss,Phase 3,"11/28/2017  Phase 3 HEALOS trial did not meet primary endpoint - November 28, 2017."
PFE,Avelumab  Gastric cancer,Phase 3,"11/28/2017  Phase 3 data released November 28, 2017 - primary endpoint not met."
EARS,AM-111 ASSENT  Acute inner ear hearing loss,Phase 3,"11/28/2017  Phase 3 ASSENT trial terminated - November 28, 2017."
EGLT,Egalet-002  Moderate to severe chronic pain,Phase 3,"11/28/2017  Phase 3 trial met primary endpoint - November 28, 2017."
BMY,CM-078 – Opdivo  Second-line Non-small cell lung cancer (NSCLC),Phase 3,"11/30/2017  Phase 3 trial met primary endpoint - November 30, 2017."
AMGN,Repatha  Cardiovascular disease,Approved,"12/01/2017  Approval announced December 1, 2017."
MYL,Ogivri - trastuzumab biosimilar  Trastuzumab biosimilar,Approved,"12/01/2017  Approval announced December 1, 2017."
LLY,Taltz  Psoriatic Arthritis,Approved,"12/01/2017  Approval announced December 1, 2017."
RARX,RA101495  Paroxysmal nocturnal hemoglobinuria (PNH),Phase 2,"12/04/2017  Phase 2 data released December 4, 2017. Primary endpoint met but with competitive concerns."
IRWD,IW-1973  Diabetic nephropathy,Phase 2,"12/04/2017  Phase 2a data released December 4, 2017 - Noted data encouraging but with one serious adverse event."
GALT,GR-MD-02 Non-alcoholic steatohepatitis (NASH) with cirrhosis,Phase 2b,"12/05/2017  Phase 2 top-line data released December 5, 2017 did not meet primary endpoint across all patients - noted subgroup improvement."
RDHL,RIZAPORT (RHB-103)  Migraine,NDA Filing,"12/05/2017  Noted December 5, 2017 that an Incomplete Response Letter has been received from the FDA and termination of license agreement with IntelGenx Corp."
RVNC,"RT002 - SAKURA 1, 2 and 3  Moderate to severe glabellar (frown) lines",Phase 3,"12/05/2017  Phase 3 data released December 5, 2017 - endpoints met."
NVO,Semaglutide  Type 2 diabetes,Approved,"12/05/2017  Approval announced December 5, 2017."
MDGL,MGL-3196 Non-alcoholic steatohepatitis (NASH),Phase 2,"12/06/2017  Phase 2 top-line data released December 6, 2017 - primary endpoint met."
IMMU,SACTUZUMAB GOVITECAN (IMMU-132) Cancer - metastatic triple-negative breast cancer,PDUFA priority review,"12/06/2017  Phase 3 trial initiated October 2017. Phase 2 updated data released December 6, 2017 - ORR 31%."
SAGE,SAGE-217  Major Depressive Disorder (MDD),Phase 3,"12/07/2017  Phase 2 initiation announced December 19, 2016. Top-line data released December 7, 2017 - primary endpoint met."
AKTX,Coversin  Paroxysmal nocturnal hemoglobinuria (PNH),Phase 2,"12/08/2017  Phase 2 further update December 8, 2017 noted that three additional patients together with earlier five patients met primary endpoint."
AKTX,Coversin  Paroxysmal nocturnal hemoglobinuria (PNH),Phase 3,"12/08/2017  Phase 2 further update December 8, 2017 noted that three additional patients together with earlier five patients met primary endpoint."
LLY,Ramucirumab - RAINFALL  First-line gastric cancer,Phase 3,12/08/2017  Phase 3 PFS data met primary endpoint but overall survival not improved. Will not seek regulatory approval.
PFE,Talazoparib BRCA-mutated breast cancer,Approved,"12/08/2017  Phase 3 data presented December 8, 2017. HR 0.54."
BMRN,Valoctocogene roxaparvovec (BMN 270)  Hemophilia A,Phase 3,12/09/2017  Phase 1/2 updated data released at ASH 2017. Noted median annualized bleed rates dropped to zero after four weeks among six patients.
VSTM,Duvelisib - DUO  Chronic lymphocytic leukemia (CLL)//Small Lymphocytic Lymphoma (SLL)/Follicular Lymphoma,Approved,"12/10/2017  Phase 3 data released September 6, 2017 - PFS primary endpoint met. Noted at ASH 2017 that OS secondary endpoint not met."
KURA,Tipifarnib  Chronic myelomonocytic leukemia (CMML) - cancer,Phase 2,12/10/2017  Preliminary data at ASH 2017 - ORR 33% among 9 patients.
IMDZ,G100 Follicular non-Hodgkin Lymphoma - cancer,Phase 2,12/10/2017  Phase 2 data ASH 2017 - ORR 39%.
BLUE,LentiGlobin - HGB-206  Sickle disease,Phase 1/2,12/10/2017  Data at ASH 2017 showed 51% and 28% anti-sickling HbAT87Q at six and nine months for two patients.
BLUE,bb2121  Relapsed/refractory multiple myeloma,Phase 1,"12/10/2017  Phase 1 data released at ASH 2017 - ORR 94%, CR 56%."
CELG,bb2121  Relapsed/refractory multiple myeloma,Phase 1,"12/10/2017  Phase 1 data released at ASH 2017 - ORR 94%, CR 56%."
BLUE,HGB-205  Transfusion-Dependent β-Thalassemia (TDT) and Severe Sickle Cell Disease (SCD),Phase 1/2,12/11/2017  Phase 1/2 data presented at ASH 2017 - noted 2/3 patients showed meaningful clinical improvement.
SGEN,ADCETRIS and Opdivo CM-812  Relapsed Hodgkin Lymphoma,Phase 3,12/11/2017  Data from Phase 1/2 at ASH 2017 showed a 83% ORR and 62% CR.
BMY,ADCETRIS and Opdivo CM-812  Relapsed Hodgkin Lymphoma,Phase 3,12/11/2017  Data from Phase 1/2 at ASH 2017 showed a 83% ORR and 62% CR.
CELG,Lico-cel (CD-19 JCAR017) - TRANSCEND  r/r B cell non-Hodgkin lymphoma - cancer,Phase 1/2,"12/11/2017  Phase 1 updated data presented at ASH 2017 - 74% ORR, 68% CR."
FBIO,CAEL‐101  AL amyloidosis,Phase 2/3,12/11/2017  Phase 1/2 data at ASH December showed 67% response rate.
TGTX,Umbralisib (TGR-1202) + Pembrolizumab + Ublituximab (TG-1101)  Relapsed or refractory Chronic Lymphocytic Leukemia (CLL),Phase 1/2,12/11/2017  Phase 1/2 poster at ASH 2017 showed 78% (7 of 9) ORR.
PTI,PTI-428  Cystic fibrosis,Phase 2,"12/11/2017  Phase 2 28-day data released December 11, 2017 - showed improvements in FEV1 of 5.2%."
RETA,Omaveloxolone - REVEAL  Metastatic melanoma,Phase 1/2,"12/11/2017  Phase 1b data released December 11, 2017 - 27% ORR."
ARGX,ARGX-110  Acute myeloid leukemia (AML),Phase 1,12/11/2017  Phase 1/2 interim data at ASH 2017 - all six patients showed response including 3/6 with complete remission.
AFMD,AFM13 with Keytruda  Hodgkin Lymphoma - Cancer,Phase 1b,12/11/2017  Phase 1b poster at ASH 2017.ORR 83% (5/6).
KDMN,KD025 - ROCKstar (KD025-213)  Chronic graft-versus-host disease (cGVHD),Phase 2,12/11/2017  Updated data at ASH December 2017 showed ORR 63%.
ARGX,ARGX-110  Relapsed/refractory cutaneous T-cell lymphoma (CTCL),Phase 2,"12/11/2017  Phase 2 interim data ASH 2017 - of 22 patients 1 CR, 2 PRs, 10 SD."
GILD,Axicabtagene ciloleucel - KTE-C19 (ZUMA-3) Adult patients with r/r ALL - cancer,Phase 1/2,12/11/2017  Complete remission 73%. Data released at ASH 2017 showed complete remission of 71%.
SYRS,SY-1425  Relapsed or refractory Acute myeloid leukemia (AML) and relapsed high-risk Myelodysplastic Syndrome (MDS) - cancer,Phase 2,12/11/2017  Phase 2 data at ASH showed 1 complete response from 48 patients.
XENT,SINUVA Sinus Implant  Recurrent sinus obstruction,Approved,"12/11/2017  Approval announced December 11, 2017."
ARGX,Efgartigimod  Myasthenia gravis (MG),Phase 3,"12/11/2017  Phase 2 data released December 11, 2017 - 75% of patients showed meaningful improvement."
SNY,Admelog (insulin lispro injection)  Diabetes,Approved,"12/11/2017  Approval announced December 11, 2017."
ADAP,NY-ESO T-cell therapy  Myeloma,Phase 1/2,12/11/2017  Updated data at ASH December 2017 - Overall response rate (ORR) at 100 days and one year were 76% and 44%.
TRIL,"TTI-621-01  Diffuse Large B-cell Lymphoma (DLBCL), Cutaneous T-cell lymphoma (CTCL)",Phase 1,12/11/2017  Phase 1a/b updated data released at ASH 2017 - 5/18 objective response rate.
ONCE,SPK-8011  Hemophilia A,Phase 1/2,12/11/2017  Further data due at ASH 2017 showed promising reductions in bleeding shown but inconsistent levels of Factor VII.
GSK,Mepolizumab  Eosinophilic Granulomatosis with Polyangiitis (EGPA),Approved,"12/12/2017  Approval announced December 12, 2017."
GLYC,Uproleselan (GMI-1271)  Acute myeloid leukemia (AML) newly diagnosed and refractory - cancer,Phase 1/2,12/12/2017  Phase 3 trial to be initiated mid-2018. Phase 1/2 data released at ASH 2017 showed clinical remission (CR+CRi) was 43%. Median overall survival was 9.4 months.
STML,SL-401  Cancer- adult relapsed or refractory acute myeloid leukemia (AML),Phase 2,12/13/2017  Phase 2 ongoing. ASH 2017 data showed 5/16 patients relapse-free for at least 5+ months including 2 ongoing.
STML,SL-401  Blastic plasmacytoid dendritic cell neoplasm (BPDCN) cancer,PDUFA priority review,"12/13/2017  Phase 2 enrollment completed - noted March 23, 2017. Update on patients enrolled in Stages 1 and 2 at EHA June 23, 2017. Top-line data from Stage 3 met primary endpoint - October 31, 2017. ASH data showed 54% (7/13) CR + CRc rate + 77% ORR."
GERN,Imetelstat - IMerge Study  Myelodysplastic syndromes,Phase 2/3,"12/13/2017  Poster at ASH for patients in Part 1 of the trial - December 11, 2017. 38% (12/32) of patients achieved ≥8-week RBC TI."
JNJ,Imetelstat - IMerge Study  Myelodysplastic syndromes,Phase 2/3,"12/13/2017  Poster at ASH for patients in Part 1 of the trial - December 11, 2017. 38% (12/32) of patients achieved ≥8-week RBC TI."
CLLS,UCART123  Acute myeloid leukemia (AML) and in blastic plasmacytoid dendritic cell neoplasm (BPDCN).,Phase 1,12/13/2017  ASH 2017 data showed five out seven patients treated achieved molecular remission.
STML,SL-401  High Risk Myeloproliferative Neoplasms,Phase 2,12/13/2017  ASH 2017 data showed 65% (11/17 evaluable) of CMML and MF patients had spleen reductions >25%.
PFE,IXIFI  Remicade (infliximab) biosimilar,Approved,"12/13/2017  Approval announced December 13, 2017."
JNJ,DARZALEX (Daratumumab) - ALCYONE  Frontline multiple myeloma (non-transplant),Approved,12/13/2017  LBA at ASH 2017 - HR 0.50.
ADRO,CRS-207 with pembrolizumab  Mesothelioma - cancer,Phase 2,"12/13/2017  Development to be discontinued - December 12, 2017."
MRK,Keytruda  Cancer - Third-line Gastric or Gastroesophageal Junction Adenocarcinoma,Approved,"12/14/2017  Approved Sept. 22, 2017 under accelerated approval in patients undergoing third-line treatment following data from Phase 2 Keynote-59 trial. Phase 3 data released December 14, 2017 in patients undergoing second-line treatment, did not meet the primary endpoint of overall survival, nor did it show a significant improvement in PFS."
AMPE,Ampion  Osteoarthritis of the Knee,Phase 3,12/14/2017  Third Phase 3 trial met primary endpoint.
PFE,Xeljanz  Psoriatic arthritis,Phase 3,"12/14/2017  Approval announced December 14, 2017."
EGLT,ARYMO ER  Abuse-Deterrent Morphine,Approved,"12/15/2017  Approved January 9, 2017. Tentative approval for label expansion announced December 15, 2017. Final approval expected October 2, 2018."
ACRS,ESKATA (hydrogen peroxide)  Seborrheic keratosis (SK),Approved,"12/15/2017  Approval announced December 15, 2017."
AERI,Rhopressa  Glaucoma,Approved,"12/18/2017  PDUFA date February 28, 2018. Approved ahead of schedule - December 18, 2017."
RXII,RXI-109-1402  Connective tissue growth factor (CTGF),Phase 2,12/18/2017  Phase 2 data released December 18 2017 - primary effectiveness objective was met.
AGN,Cariprazine  Bipolar I depression,Phase 3,"12/18/2017  Phase 3 data released December 18, 2017 - primary endpoint met."
ONCE,Luxturna (voretigene neparvovec)  Inherited retinal dystrophies,Approved,"12/19/2017  PDUFA date January 12, 2018 under priority review. Approval announced December 19, 2017."
PFE,BOSULIF (BOSUTINIB)  First-Line Treatment of Philadelphia Chromosome Positive Chronic Myeloid Leukemia,Approved,"12/19/2017  Approval announced December 19, 2017."
EXEL,Cabozantinib - CABOSUN  First-Line RCC - cancer,Approved,"12/19/2017  Approval announced December 19, 2017, ahead of PDUFA date of February 15, 2018."
MRK,Ertugliflozin  Type 2 diabetes,Approved,"12/20/2017  Approval announced December 20, 2017."
PFE,Ertugliflozin  Type 2 diabetes,Approved,"12/20/2017  Approval announced December 20, 2017."
ABBV,ABT-494 - SELECT-MONOTHERAPY  Rheumatoid arthritis,Phase 3,"12/20/2017  Phase 3 data released December 20, 2017 - primary endpoint and key secondary endpoints met."
AEZS,Macimorelin Acetate - Macrilen  Adult Growth Deficiency,Approved,"12/20/2017  Approval announced December 20, 2017."
BMY,CM-238 – Opdivo (Adjuvant)  Melanoma,Approved,"12/20/2017  Approval announced December 20, 2017."
LJPC,GiaprezaTM (angiotensin II)  Increase blood pressure in adults with septic or other distributive shock,Approved,"12/21/2017  Approval announced December 21, 2017."
BIIB,BAN2401 (Aβ mAb)  Alzheimer’s disease,Phase 2,"12/21/2017  Noted December 21, 2017 that Independent Data Monitoring Committee determined trial did not meet criteria for success."
CELG,REVLIMID - RELEVANCE  Newly Diagnosed Follicular Lymphoma,Phase 3,"12/21/2017  Phase 3 data released December 21, 2017 - co-primary endpoints not met."
AGRX,Twirla  Contraceptive patch,CRL,"12/22/2017  CRL issued 2013. Further CRL issued December 22, 2017."
BHC,LUMIFY (brimonidine tartrate ophthalmic solution 0.025%)  Eye Brightener,Approved,"12/22/2017  Approval announced December 22, 2017."
BOLD,AT132 - ASPIRO  X-Linked Myotubular Myopathy,Phase 1/2,"01/04/2018  Phase 1/2 dosing has commenced - noted September 21, 2017 with preliminary data released January 4, 2018."
AMGN,XGEVA  Multiple Myeloma,Approved,"01/05/2018  sBLA approval announced January 5, 2017."
OHRP,OHR-102 (MAKO)  Neovascular (Wet) Age-related Macular Degeneration (AMD),Phase 3,"01/05/2018  Phase 3 data released January 5, 2017 - primary endpoint not met."
KALA,KPI‑121 0.25% - STRIDE 2  Dry eye disease,NDA Filing,"01/05/2018  Phase 3 data released January 5, 2017 - one of two primary endpoints met."
KALA,INVELTYS - STRIDE 1  Dry eye disease,Phase 3,"01/05/2018  Phase 3 data released January 5, 2017 - both primary symptom endpoints met. Primary sign endpoint missed."
ACRS,A-101 THWART-1 and THWART-2  Common warts (verruca vulgaris),Phase 3,"01/08/2018  Phase 2 data released January 8, 2018 - endpoints met. Phase 3 trial to be initiated 2H 2018."
ALDR,ALD403 - PROMISE 2  Frequent episodic migraine,Phase 3,"01/08/2018  Phase 3 PROMISE 2 data released January 8, 2017 - endpoints met."
RVNC,RT002  Plantar fasciitis,Phase 2a,"01/08/2018  Phase 2a data released January 8, 2017. Primary endpoint was not met."
AXON,Nelotanserin Visual hallucinations in subjects with Lewy body dementia,Phase 2,"01/08/2018  Phase 2 data released January 8, 2018. Dementia endpoint missed."
AXSM,AXS-02 CREATE-1  Complex regional pain syndrome (CRPS),Phase 3,"01/09/2018  Phase 3 interim efficacy analysis January 9, 2017 recommended trial to discontinue due to futility."
AXON,Intepirdine - HEADWAY-DLB  Dementia with Lewy bodies (DLB),Phase 2b,01/09/2018  Phase 2 data released January 2018 - negative data.
AXSM,AXS-02 COAST-1  Knee Osteoarthritis Associated with Bone Marrow Lesions,Phase 3,"01/09/2018  Phase 3 interim efficacy analysis January 9, 2017 recommended trial continue to full enrollment."
AXON,Intepirdine  Gait and Balance Impairments in Dementia,Phase 2,01/09/2018  Phase 2 data released January 2018 - negative data.
LPCN,LPCN 1021  Men with low testosterone (Low T),-,"01/10/2018  Advisory Committee meeting January 10, 2018 voted 6-13 against approval."
ARDM,Linhaliq (Pulmaquin)  Non-cystic fibrosis bronchiectasis (non-CF BE).,CRL,"01/11/2018  Advisory Committee Meeting January 11, 2018 voted 3-12 against recommending approval."
ARDM,Linhaliq (Pulmaquin)  Non-cystic fibrosis bronchiectasis (non-CF BE).,PDUFA priority review,"01/11/2018  Advisory Committee Meeting January 11, 2018 voted 3-12 against recommending approval."
AZN,Lynparza  Breast cancer,Approved,"01/12/2018  Approval announced January 12, 2018."
MRK,Lynparza  Breast cancer,Approved,"01/12/2018  Approval announced January 12, 2018."
TEVA,Trisenox  Acute Promyelocytic Leukemia,Approved,"01/15/2018  Approved January 15, 2018."
EXEL,Cabozantinib (CELESTIAL)  Advanced hepatocellular cancer (HCC),Phase 3,"01/16/2018  Phase 3 data to be presented at 2018 ASCO-GI Symposium, January 19, 2018 - OS 10.2 months vs 8 months placebo (HR 0.76, p=0.0049). Median PFS 5.2 months vs 1.9 months placebo (HR 0.44, p<0.0001)."
EIGR,Ubenimex - LIBERTY Pulmonary arterial hypertension (PAH),Phase 2,"01/16/2018  Phase 2 trial did not meet endpoints - January 16, 2018."
ONTX,IV Rigosertib - INSPIRE  2nd-line HR-MDS (high risk myelodysplastic syndromes),Phase 3,"01/17/2018  Phase 3 trial recommended to continue by Data Monitoring Committee (DMC) following interim analysis January 17, 2018."
AMGN,KYPROLIS (ENDEAVOR)  Relapsed Multiple Myeloma,Approved,"01/17/2018  sNDA approved January 17, 2018."
NCNA,NUC-1031 (Acelarin)  Front-Line Treatment of Advanced Biliary Tract Cancer,Phase 1b,"01/19/2018  Data from open label Phase 1b trial released at ASCO GI 2018 - Partial Response 3/8, Stable Disease 1/8."
TCON,TRC105 and Nexavar  Hepatocellular carcinoma (HCC) - cancer,Phase 2,"01/19/2018  Phase 2 poster presented January 19, 2018 at ASCO GI showed 2/8 partial responses."
RNN,RX-3117  Relapsed and refractory pancreatic cancer,Phase 2,"01/19/2018  Updated Phase 2a data presented at ASCO GI January 19, 2018. 1/43 partial responses; 11/43 (28%) stable disease."
VICL,ASP0113 Vaccine  Hematopoietic cell transplant recipients,Phase 3,"01/22/2018  Phase 3 data released January 22, 2018 - endpoints not met."
CCXI,CCX872  Non-resectable pancreatic cancer,Phase 1b,01/22/2018  Noted 29% overall survival data when combined with FOLFIRINOX.
CERS,INTERCEPT Chronic anemia in thalassemia patients,Phase 3,"01/23/2018  Phase 3 trial met endpoints - January 23, 2018. CE mark submission due 2H 2018."
IOVA,LN-145  Head and neck cancer,Phase 2,"01/24/2018  Data released January 24, 2018 showed 3/8 PRs."
PFE,"PF-05280586 (Biosimilar to Rituxan/ MabThera)  CD20-positive, low tumor burden, follicular lymphoma",PDUFA,"01/24/2018  Demonstrated equivalence in overall response rate (ORR) - met primary endpoint - January 24, 2018."
IOVA,LN-145  Head and neck cancer,Phase 2,"01/24/2018  Phase 2 data released January 24, 2018 showed 3/8 PRs."
IOVA,LN-145  Cervical cancer,Phase 2,"01/24/2018  Initial data released January 24, 2018 - 1 PR and 1 SD out of two patients."
SMMT,Ezutromid  Duchenne muscular dystrophy,Phase 2,"01/25/2018  Phase 2 24-week data released January 25, 2018. 23% decrease myosin."
SGYP,Trulance (plecanatide)  Constipation-predominant irritable bowel syndrome (IBS-C),Approved,"01/25/2018  Approval announced January 25, 2018."
NVS,Lutathera  Inoperable progressive midgut NETs,Approved,"01/26/2018  Approved January 26, 2018. Acquired from Advanced Accelerator Applications (NASDAQ: AAAP)."
AZN,PT010  Chronic obstructive pulmonary disease (COPD),Phase 3,"01/26/2018  Phase 3 data released January 26, 2018 - 8/9 primary endpoints met. Regulatory filing due 2H 2018."
NVS,Lutathera  Inoperable progressive midgut NETs,Approved,01/26/2018  http://investorrelations.adacap.com/phoenix.zhtml?c=253874&p=irol-newsArticle&ID=2328710
ARDM,Linhaliq (Pulmaquin)  Non-cystic fibrosis bronchiectasis (non-CF BE).,CRL,"01/29/2018  CRL announced January 29, 2018 - two-year additional Phase 3 trial requested by FDA."
BLCM,BPX-501  Adjunct T-cell therapy administered after allogeneic HSCT - (hematopoietic stem cell transplantation) - cancer,Phase 1/2,"01/30/2018  Clinical hold announced January 30, 2018."
SAGE,SAGE-217  Insomnia,Phase 1/2,"01/31/2018  Phase 1/2 trial met primary endpoint - January 31, 2018."
AGN,AVYCAZ (ceftazidime and avibactam)  Complicated Urinary Tract Infections (cUTI),Approved,"02/01/2018  Further approval to include hospital-acquired bacterial pneumonia/ventilator-associated bacterial pneumonia (HABP/VABP) announced February 1, 2018"
ICPT,Obeticholic acid (Ocaliva)  Primary biliary cirrhosis (PBC) - POISE,Approved,"02/01/2018  Updated U.S. label for Ocaliva released February 1, 2018."
AFMD,AFM13 with Keytruda  Hodgkin Lymphoma - Cancer,Phase 1b,"02/01/2018  Phase 1b preliminary data released February 1, 2018 - Objective response rate (ORR) of 89% (8/9), 4/9 CRs and 4/9 PRs. 3-month data due mid-2018."
AFMD,AFM13  CD30-positive lymphoma,Phase 1/2,"02/01/2018  Phase 1b/2a preliminary data showed 1/3 PR. 1/3CR, 1/3 SD - released February 1, 2018."
TGTX,TG-1101 (ublituximab)  Relapsing forms of Multiple Sclerosis (RMS),Phase 2a,"02/02/2018  Phase 2a updated data February 2, 2018 - 100% reduction of T1 Gd-enhancing lesions Wk 24 (n=38), 99% B-cell depletion Wk 4 and maintained at Wk (n=40)."
SPPI,SPI-2012 (ROLONTIS)  Chemotherapy-Induced Neutropenia,Phase 3,02/05/2018  Phase 3 ADVANCE trial met primary endpoint of non-inferiority in comparison to pegfilgrastim. Additional Phase 3 RECOVER trial ongoing with BLA to be filed 4Q 2018.
EYEG,EGP-437  Ocular inflammation and pain post cataract surgery,Phase 2b,"02/05/2018  Phase 2b data released February 5, 2018 - co-primary endpoints not met."
